name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,06/30/2003
TotalRevenue,"257,637,000,000","75,325,000,000","65,118,000,000","61,880,000,000","55,314,000,000","56,898,000,000","46,173,000,000","38,297,000,000","41,159,000,000","46,075,000,000","40,499,000,000","38,944,000,000","36,339,000,000","39,276,000,000","33,740,000,000","32,657,000,000","31,146,000,000","32,323,000,000","27,772,000,000","26,010,000,000","24,750,000,000","26,064,000,000","22,451,000,000","21,500,000,000","20,257,000,000","21,329,000,000","18,675,000,000","17,727,000,000","17,258,000,000","18,103,000,000","16,523,000,000","15,955,000,000","15,420,000,000","16,858,000,000","14,893,000,000","14,105,000,000","13,969,000,000","13,215,000,000","14,101,000,000","12,214,000,000","10,645,000,000","10,583,000,000","9,720,000,000","9,026,000,000","8,575,000,000","8,440,000,000","7,286,000,000","6,820,000,000","6,775,000,000","6,673,825,000","5,944,851,000","5,522,897,000","5,508,990,000","5,700,904,000","5,541,391,000","5,367,212,000","5,186,043,000","4,826,679,000","4,231,351,000","3,871,985,000","3,663,971,000","3,205,498,000","2,689,673,000","2,455,991,000","2,253,755,000","1,919,092,000","1,578,456,000","1,384,495,000","1,256,516,000","1,031,501,000","805,887,000","700,212,000","651,623,000","311,199,000"
	OperatingRevenue,"257,637,000,000","75,325,000,000","65,118,000,000","61,880,000,000","55,314,000,000","56,898,000,000","46,173,000,000","38,297,000,000","41,159,000,000","64,133,000,000","34,071,000,000","38,944,000,000","36,339,000,000","52,695,000,000","29,100,000,000","32,657,000,000","31,146,000,000","27,636,000,000","24,367,000,000","22,920,000,000","24,750,000,000","15,984,000,000","22,451,000,000","19,328,000,000","18,186,000,000","19,526,000,000","16,781,000,000","16,023,000,000","15,508,000,000","16,149,000,000","14,682,000,000","14,359,000,000","13,866,000,000","15,148,000,000","13,726,000,000","13,059,000,000","12,920,000,000","10,862,000,000","14,101,000,000","12,214,000,000","10,645,000,000","10,583,000,000","9,720,000,000","9,026,000,000","8,575,000,000","8,440,000,000","7,286,000,000","6,820,000,000","6,775,000,000","6,673,825,000","5,944,851,000","5,522,897,000","5,508,990,000","5,700,904,000","5,541,391,000","5,367,212,000","5,186,043,000","4,826,679,000","4,231,351,000","3,871,985,000","3,663,971,000","3,205,498,000","2,689,673,000","2,455,991,000","2,253,755,000","1,919,092,000","1,578,456,000","1,384,495,000","1,256,516,000","1,031,501,000","805,887,000","700,212,000","651,623,000","311,199,000"
CostOfRevenue,"110,939,000,000","32,988,000,000","27,621,000,000","26,227,000,000","24,103,000,000","26,080,000,000","21,117,000,000","18,553,000,000","18,982,000,000","21,020,000,000","17,568,000,000","17,296,000,000","16,012,000,000","17,918,000,000","14,281,000,000","13,883,000,000","13,467,000,000","14,267,000,000","11,148,000,000","10,373,000,000","9,795,000,000","10,661,000,000","8,699,000,000","8,130,000,000","7,648,000,000","8,188,000,000","7,037,000,000","6,583,000,000","6,356,000,000","6,921,000,000","6,695,000,000","6,114,000,000","5,961,000,000","7,438,000,000","6,413,000,000","6,063,000,000","5,944,000,000","5,278,000,000","6,554,000,000","5,013,000,000","3,789,000,000","3,703,000,000","3,378,000,000","3,172,000,000","2,936,000,000","2,946,000,000","2,552,000,000","2,467,000,000","2,452,000,000","2,408,400,000","2,226,240,000","2,107,971,000","2,101,504,000","2,190,005,000","2,173,390,000","2,147,575,000","2,110,536,000","1,955,824,000","1,662,579,000","1,560,255,000","1,470,426,000","1,283,148,000","1,048,728,000","989,032,000","904,119,000","775,381,000","653,826,000","597,095,000","545,208,000","453,779,000","362,099,000","326,377,000","315,398,000","117,401,000"
GrossProfit,"146,698,000,000","42,337,000,000","37,497,000,000","35,653,000,000","31,211,000,000","30,818,000,000","25,056,000,000","19,744,000,000","22,177,000,000","25,055,000,000","22,931,000,000","21,648,000,000","20,327,000,000","21,358,000,000","19,459,000,000","18,774,000,000","17,679,000,000","18,056,000,000","16,624,000,000","15,637,000,000","14,955,000,000","15,403,000,000","13,752,000,000","13,370,000,000","12,609,000,000","13,141,000,000","11,638,000,000","11,144,000,000","10,902,000,000","11,182,000,000","9,828,000,000","9,841,000,000","9,459,000,000","9,420,000,000","8,480,000,000","8,042,000,000","8,025,000,000","7,937,000,000","7,547,000,000","7,201,000,000","6,856,000,000","6,880,000,000","6,342,000,000","5,854,000,000","5,639,000,000","5,494,000,000","4,734,000,000","4,353,000,000","4,323,000,000","4,265,425,000","3,718,611,000","3,414,926,000","3,407,486,000","3,510,899,000","3,368,001,000","3,219,637,000","3,075,507,000","2,870,855,000","2,568,772,000","2,311,730,000","2,193,545,000","1,922,350,000","1,640,945,000","1,466,959,000","1,349,636,000","1,143,711,000","924,630,000","787,400,000","711,308,000","577,722,000","443,788,000","373,835,000","336,225,000","193,798,000"
OperatingExpense,"67,984,000,000","20,452,000,000","16,466,000,000","16,292,000,000","14,774,000,000","15,167,000,000","13,843,000,000","13,361,000,000","14,200,000,000","15,789,000,000","13,754,000,000","12,468,000,000","12,022,000,000","13,155,000,000","11,149,000,000","10,896,000,000","10,678,000,000","10,392,000,000","8,842,000,000","8,769,000,000","8,387,000,000","8,764,000,000","7,985,000,000","7,402,000,000","7,267,000,000","7,761,000,000","6,930,000,000","6,319,000,000","6,455,000,000","6,783,000,000","6,104,000,000","5,583,000,000","5,344,000,000","5,498,000,000","5,036,000,000","4,919,000,000","4,548,000,000","4,505,000,000","4,811,000,000","3,998,000,000","3,467,000,000","3,373,000,000","3,284,000,000","2,973,000,000","3,343,000,000","2,512,000,000","2,187,000,000","1,988,000,000","1,835,000,000","1,784,442,000","1,644,893,000","1,541,032,000","1,523,895,000","1,650,694,000","1,720,436,000","1,641,672,000","1,529,272,000","1,430,121,000","1,250,930,000","1,207,115,000","972,336,000","861,756,000","709,614,000","651,587,000","606,937,000","574,072,000","395,459,000","311,702,000","268,538,000","274,923,000","432,676,000","-155,419,000","35,019,000","17,492,000"
	SellingGeneralAndAdministration,"36,422,000,000","11,744,000,000","8,772,000,000","8,617,000,000","7,289,000,000","8,145,000,000","6,987,000,000","6,486,000,000","7,380,000,000","8,567,000,000","7,200,000,000","6,255,000,000","5,993,000,000","7,121,000,000","5,917,000,000","5,782,000,000","5,639,000,000","6,086,000,000","4,637,000,000","4,597,000,000","4,445,000,000","5,142,000,000","4,389,000,000","4,039,000,000","3,900,000,000","4,251,000,000","3,700,000,000","3,530,000,000","3,702,000,000","3,970,000,000","3,449,000,000","3,345,000,000","3,218,000,000","3,387,000,000","3,019,000,000","2,932,000,000","2,711,000,000","2,747,000,000","2,802,000,000","2,413,000,000","2,026,000,000","2,572,000,000","1,880,000,000","1,739,000,000","1,617,000,000","1,461,000,000","1,193,000,000","1,090,000,000","1,017,000,000","1,048,208,000","887,369,000","833,406,000","882,252,000","917,353,000","1,015,865,000","959,462,000","856,203,000","799,338,000","702,218,000","675,009,000","563,952,000","474,950,000","396,982,000","369,035,000","360,338,000","327,000,000","243,738,000","215,930,000","189,126,000","187,481,000","174,267,000","157,115,000",,
		GeneralAndAdministrativeExpense,"13,510,000,000","4,140,000,000","3,256,000,000","3,341,000,000","2,773,000,000","2,831,000,000","2,756,000,000","2,585,000,000","2,880,000,000","2,829,000,000","2,591,000,000","2,043,000,000","2,088,000,000","2,021,000,000","2,068,000,000","2,002,000,000","2,035,000,000","1,776,000,000","1,595,000,000","1,700,000,000","1,801,000,000","2,024,000,000","1,824,000,000","1,624,000,000","1,513,000,000","1,572,000,000","1,477,000,000","1,450,000,000","1,637,000,000","1,593,000,000","1,365,000,000","1,404,000,000","1,489,000,000","1,261,000,000","1,213,000,000","1,197,000,000","1,125,000,000","1,066,000,000","1,042,000,000","980,000,000","757,000,000","1,305,000,000","676,000,000","648,000,000","591,000,000","559,000,000","532,000,000","461,000,000","410,000,000","465,059,000","389,557,000","364,367,000","448,311,000","411,361,000","507,064,000","474,910,000","409,305,000","377,048,000","321,398,000","319,405,000","261,400,000",,"190,010,000",,,,,,,,,,,
			SalariesAndWages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"499,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"13,510,000,000","4,140,000,000","3,256,000,000","3,341,000,000","2,773,000,000","2,831,000,000","2,756,000,000","2,585,000,000","2,880,000,000","2,829,000,000","2,591,000,000","2,043,000,000","2,088,000,000","2,021,000,000","2,068,000,000","2,002,000,000","2,035,000,000","1,776,000,000","1,595,000,000","1,700,000,000","1,801,000,000","2,024,000,000","1,824,000,000","1,624,000,000","1,513,000,000","1,572,000,000","1,477,000,000","1,450,000,000","1,637,000,000","1,593,000,000","1,365,000,000","1,404,000,000","1,489,000,000","1,261,000,000","1,213,000,000","1,197,000,000","1,125,000,000","1,066,000,000","1,042,000,000","980,000,000","757,000,000","1,305,000,000","676,000,000","648,000,000","591,000,000","559,000,000","532,000,000","461,000,000","410,000,000","465,059,000","389,557,000","364,367,000","448,311,000","411,361,000","507,064,000","474,910,000","409,305,000","377,048,000","321,398,000","319,405,000","261,400,000",,"190,010,000",,,,,,,,,,,
		SellingAndMarketingExpense,"22,912,000,000","7,604,000,000","5,516,000,000","5,276,000,000","4,516,000,000","5,314,000,000","4,231,000,000","3,901,000,000","4,500,000,000","5,738,000,000","4,609,000,000","4,212,000,000","3,905,000,000","5,100,000,000","3,849,000,000","3,780,000,000","3,604,000,000","4,310,000,000","3,042,000,000","2,897,000,000","2,644,000,000","3,118,000,000","2,565,000,000","2,415,000,000","2,387,000,000","2,679,000,000","2,223,000,000","2,080,000,000","2,065,000,000","2,377,000,000","2,084,000,000","1,941,000,000","1,729,000,000","2,126,000,000","1,806,000,000","1,735,000,000","1,586,000,000","1,681,000,000","1,760,000,000","1,433,000,000","1,269,000,000","1,267,000,000","1,204,000,000","1,091,000,000","1,026,000,000","902,000,000","661,000,000","629,000,000","607,000,000","583,149,000","497,812,000","469,039,000","433,941,000","505,992,000","508,801,000","484,552,000","446,898,000","422,290,000","380,820,000","355,604,000","302,552,000",,"206,972,000",,,,,,,,,,,
	ResearchAndDevelopment,"31,562,000,000","8,708,000,000","7,694,000,000","7,675,000,000","7,485,000,000","7,022,000,000","6,856,000,000","6,875,000,000","6,820,000,000","7,222,000,000","6,554,000,000","6,213,000,000","6,029,000,000","6,034,000,000","5,232,000,000","5,114,000,000","5,039,000,000","4,306,000,000","4,205,000,000","4,172,000,000","3,942,000,000","3,622,000,000","3,596,000,000","3,363,000,000","3,367,000,000","3,510,000,000","3,230,000,000","2,789,000,000","2,753,000,000","2,813,000,000","2,655,000,000","2,238,000,000","2,126,000,000","2,111,000,000","2,017,000,000","1,987,000,000","1,837,000,000","1,758,000,000","2,009,000,000","1,585,000,000","1,441,000,000","1,301,000,000","1,404,000,000","1,234,000,000","1,226,000,000","1,051,000,000","994,000,000","898,000,000","818,000,000","736,234,000","757,524,000","707,626,000","641,643,000","733,341,000","704,571,000","682,210,000","673,069,000","630,783,000","548,712,000","532,106,000","408,384,000","386,806,000","312,632,000","282,552,000","246,599,000","157,072,000","151,721,000","95,772,000","79,412,000","87,442,000","57,409,000","45,762,000","35,019,000","17,492,000"
	OtherOperatingExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"500,000,000",,,,,,,,,,,,,,,,,,,,,,,,,"0","201,000,000","-358,296,000",,
OperatingIncome,"78,714,000,000","21,885,000,000","21,031,000,000","19,361,000,000","16,437,000,000","15,651,000,000","11,213,000,000","6,383,000,000","7,977,000,000","9,266,000,000","9,177,000,000","9,180,000,000","8,305,000,000","8,203,000,000","8,310,000,000","7,878,000,000","7,001,000,000","7,664,000,000","7,782,000,000","6,868,000,000","6,568,000,000","6,639,000,000","5,767,000,000","5,968,000,000","5,342,000,000","5,380,000,000","4,708,000,000","4,825,000,000","4,447,000,000","4,399,000,000","3,724,000,000","4,258,000,000","4,115,000,000","3,922,000,000","3,444,000,000","3,123,000,000","3,477,000,000","3,432,000,000","2,736,000,000","3,203,000,000","3,389,000,000","3,507,000,000","3,058,000,000","2,881,000,000","2,296,000,000","2,982,000,000","2,547,000,000","2,365,000,000","2,488,000,000","2,480,983,000","2,073,718,000","1,873,894,000","1,883,591,000","1,860,205,000","1,647,565,000","1,577,965,000","1,546,235,000","1,440,734,000","1,317,842,000","1,104,615,000","1,221,209,000","1,060,594,000","931,331,000","815,372,000","742,699,000","569,639,000","529,171,000","475,698,000","442,770,000","302,799,000","11,112,000","529,254,000","301,206,000","176,306,000"
NetNonOperatingInterestIncomeExpense,"1,153,000,000","261,000,000","310,000,000","313,000,000","269,000,000","333,000,000","412,000,000","420,000,000","565,000,000","604,000,000","608,000,000","628,000,000","487,000,000","513,000,000","453,000,000","429,000,000","369,000,000","364,000,000","279,000,000","273,000,000","287,000,000","292,000,000","289,000,000","275,000,000","240,000,000","248,000,000","233,000,000","214,000,000","200,000,000","197,000,000","162,000,000","142,000,000","144,000,000","194,000,000","179,000,000","167,000,000","162,000,000","158,000,000","151,000,000","158,000,000","162,000,000","179,000,000","190,000,000","212,000,000","190,000,000","176,000,000","172,000,000","136,000,000","95,000,000","66,862,000","46,702,000","50,017,000","66,092,000","88,447,000","90,996,000","88,086,000","121,616,000","144,460,000","145,668,000","137,740,000","130,133,000",,"108,209,000",,,,,,,,,,,
	InterestIncomeNonOperating,"1,499,000,000","378,000,000","387,000,000","389,000,000","345,000,000","386,000,000","460,000,000","433,000,000","586,000,000","621,000,000","631,000,000","653,000,000","522,000,000","542,000,000","481,000,000","456,000,000","399,000,000","400,000,000","306,000,000","294,000,000","312,000,000","325,000,000","318,000,000","307,000,000","270,000,000","274,000,000","259,000,000","240,000,000","226,000,000","222,000,000","187,000,000","169,000,000","168,000,000","215,000,000","201,000,000","186,000,000","183,000,000","179,000,000","172,000,000","180,000,000","182,000,000","199,000,000","211,000,000","212,000,000","190,000,000","176,000,000","172,000,000","136,000,000","95,000,000","66,862,000","46,702,000","50,017,000","66,092,000","88,447,000","90,996,000","88,086,000","122,003,000","144,631,000","146,114,000","137,984,000","130,475,000",,"108,230,000",,,,,,,,,,,
	InterestExpenseNonOperating,"346,000,000","117,000,000","77,000,000","76,000,000","76,000,000","53,000,000","48,000,000","13,000,000","21,000,000","17,000,000","23,000,000","25,000,000","35,000,000","29,000,000","28,000,000","27,000,000","30,000,000","36,000,000","27,000,000","21,000,000","25,000,000","33,000,000","29,000,000","32,000,000","30,000,000","26,000,000","26,000,000","26,000,000","26,000,000","25,000,000","25,000,000","27,000,000","24,000,000","21,000,000","22,000,000","19,000,000","21,000,000","21,000,000","21,000,000","22,000,000","20,000,000","20,000,000","21,000,000",,,,,,,,,,,,,,"387,000","171,000","446,000","244,000","342,000",,"21,000",,,,,,,,,,,
	TotalOtherFinanceCost,,,,,,,,,,,,,,,,,,,,,,,,,,,"-183,000,000","-131,000,000","-157,000,000","-128,000,000","-133,000,000","-145,000,000","-357,000,000","-125,000,000","-24,000,000","-247,000,000","-134,000,000","-152,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"10,867,000,000","2,256,000,000","1,723,000,000","2,311,000,000","4,577,000,000","2,705,000,000","1,734,000,000","1,474,000,000","-785,000,000","834,000,000","-1,157,000,000","2,339,000,000","-646,000,000","1,356,000,000","1,320,000,000","-4,092,000,000","3,173,000,000","-10,000,000","-82,000,000","-2,764,000,000","-36,000,000","-74,000,000","-11,000,000","-124,000,000","-453,000,000","-428,000,000","-50,000,000","-83,000,000","-43,000,000","-69,000,000","-29,000,000","3,000,000","213,000,000","-69,000,000","-155,000,000","80,000,000","-28,000,000","-5,000,000","-88,000,000","96,000,000","-6,000,000","-197,000,000","112,000,000","-8,000,000","-94,000,000","-16,000,000","-5,000,000","-67,000,000","-77,000,000","20,826,000","-53,879,000","-26,767,000","-59,882,000","-1,113,305,000","-69,779,000","-30,163,000","45,727,000","22,833,000","8,760,000","-610,000","595,000","2,469,000","-29,000","57,795,000",,,,,,"0","-201,000,000",,,
	GainOnSaleOfSecurity,"12,030,000,000","2,315,000,000","2,019,000,000","2,832,000,000","4,864,000,000","3,175,000,000","1,931,000,000","1,750,000,000","-883,000,000","439,000,000","-1,438,000,000","2,745,000,000","1,155,000,000","1,269,000,000","1,298,000,000","1,035,000,000","2,968,000,000","-54,000,000","-129,000,000","-62,000,000","-70,000,000","-109,000,000","-33,000,000","-142,000,000","-466,000,000","-463,000,000","-99,000,000","-116,000,000","-30,000,000","-100,000,000","-48,000,000","-1,000,000","185,000,000","-85,000,000","-179,000,000","96,000,000","-10,000,000","-21,000,000","-111,000,000","-94,000,000","-23,000,000","-112,000,000","85,000,000","75,000,000","27,000,000","-300,000,000","62,000,000","-63,000,000","-80,000,000","15,945,000","-54,510,000","-24,351,000","-59,156,000","-19,957,000","-70,531,000","-35,481,000","46,571,000",,,,,,,,,,,,,,,,,
	EarningsFromEquityInterest,"334,000,000","49,000,000","188,000,000","92,000,000","5,000,000","355,000,000","26,000,000","-54,000,000","74,000,000","460,000,000","-14,000,000","-16,000,000","-40,000,000","19,000,000","-27,000,000","-105,000,000","-7,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	SpecialIncomeCharges,"0",,,,,"0","0","0","0","0","0","0","-1,697,000,000","0","0","-5,071,000,000",,"0","0","-2,736,000,000",,,,,,,,,,,,,,"0","0","-31,000,000",,"-42,000,000","23,000,000","190,000,000","17,000,000","-85,000,000","27,000,000","-83,000,000","-121,000,000","284,000,000","-67,000,000","-4,000,000","3,000,000","4,881,000","631,000","-2,416,000","-726,000","-1,093,348,000","752,000","5,318,000","-844,000","22,833,000","8,760,000","-610,000","595,000","2,469,000","-29,000","57,795,000",,,,,,"0","-201,000,000",,,
		OtherSpecialCharges,,,,,,,,,,"0",,,"1,697,000,000","0",,"5,071,000,000",,"0",,"2,736,000,000",,,,,,,,,,,,,,,,,,,"-23,000,000","-2,000,000",,,,,,,,,,,,,,,,,"844,000",,,,,,,,,,,,,,,,,
		GainOnSaleOfBusiness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","-31,000,000",,"0","0","188,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherNonOperatingIncomeExpenses,"-1,497,000,000","-108,000,000","-484,000,000","-613,000,000","-292,000,000","-825,000,000","-223,000,000","-222,000,000","24,000,000","-65,000,000","295,000,000","-390,000,000","-64,000,000","68,000,000","49,000,000","49,000,000","212,000,000","44,000,000","47,000,000","34,000,000","34,000,000","35,000,000","22,000,000","18,000,000","13,000,000","35,000,000","49,000,000","33,000,000","-13,000,000","31,000,000","19,000,000","4,000,000","28,000,000","16,000,000","24,000,000","15,000,000","-18,000,000","152,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PretaxIncome,"90,734,000,000","24,402,000,000","23,064,000,000","21,985,000,000","21,283,000,000","18,689,000,000","13,359,000,000","8,277,000,000","7,757,000,000","10,704,000,000","8,628,000,000","12,147,000,000","8,146,000,000","10,072,000,000","10,083,000,000","4,215,000,000","10,543,000,000","8,018,000,000","7,979,000,000","4,377,000,000","6,819,000,000","6,857,000,000","6,045,000,000","6,119,000,000","5,129,000,000","5,200,000,000","4,891,000,000","4,956,000,000","4,604,000,000","4,527,000,000","3,857,000,000","4,403,000,000","4,472,000,000","4,047,000,000","3,468,000,000","3,370,000,000","3,611,000,000","3,585,000,000","2,799,000,000","3,457,000,000","3,545,000,000","3,489,000,000","3,360,000,000","3,085,000,000","2,392,000,000","3,142,000,000","2,714,000,000","2,434,000,000","2,506,000,000","2,568,671,000","2,066,541,000","1,856,176,000","1,889,801,000","835,347,000","1,668,782,000","1,635,888,000","1,713,578,000","1,608,027,000","1,472,270,000","1,241,745,000","1,351,937,000","1,184,734,000","1,039,511,000","976,177,000","810,618,000","639,833,000","549,968,000","495,420,000","456,456,000","310,173,000","14,978,000","169,460,000","155,623,000","105,550,000"
TaxProvision,"14,701,000,000","3,760,000,000","4,128,000,000","3,460,000,000","3,353,000,000","3,462,000,000","2,112,000,000","1,318,000,000","921,000,000","33,000,000","1,560,000,000","2,200,000,000","1,489,000,000","1,124,000,000","891,000,000","1,020,000,000","1,142,000,000","11,038,000,000","1,247,000,000","853,000,000","1,393,000,000","1,524,000,000","984,000,000","1,242,000,000","922,000,000","277,000,000","912,000,000","1,025,000,000","1,018,000,000","737,000,000","859,000,000","913,000,000","822,000,000","666,000,000","513,000,000","816,000,000","287,000,000","648,000,000","623,000,000","672,000,000","655,000,000","785,000,000","631,000,000","580,000,000","594,000,000","599,000,000","547,000,000","594,000,000","551,000,000","594,571,000","427,566,000","371,631,000","466,973,000","452,905,000","378,844,000","388,497,000","406,492,000","401,578,000","402,281,000","316,625,000","349,775,000","154,017,000","306,150,000","255,100,000","218,327,000","267,625,000","168,786,000","152,606,000","87,263,000","106,073,000","-37,005,000","90,397,000","91,650,000","73,382,000"
NetIncomeCommonStockholders,"76,033,000,000","20,642,000,000","18,936,000,000","18,525,000,000","17,930,000,000","15,227,000,000","11,247,000,000","6,959,000,000","6,836,000,000","10,671,000,000","7,068,000,000","9,947,000,000","6,657,000,000","8,948,000,000","9,192,000,000","3,195,000,000","9,401,000,000","-3,020,000,000","6,732,000,000","3,524,000,000","5,426,000,000","5,333,000,000","5,061,000,000","4,877,000,000","4,207,000,000","4,923,000,000","3,979,000,000","3,409,000,000","3,586,000,000","4,757,000,000","2,813,000,000","3,422,000,000","3,452,000,000","3,376,000,000","2,970,000,000","3,228,000,000","3,346,000,000","2,886,000,000","2,176,000,000","2,785,000,000","2,890,000,000","2,704,000,000","2,729,000,000","2,505,000,000","1,798,000,000","2,543,000,000","2,167,000,000","1,840,000,000","1,955,000,000","1,974,100,000","1,638,975,000","1,484,545,000","1,422,828,000","382,442,000","1,289,938,000","1,247,391,000","1,307,086,000","1,206,449,000","1,069,989,000","925,120,000","1,002,162,000","1,030,717,000","733,361,000","721,077,000","592,291,000","372,208,000","381,182,000","342,814,000","369,193,000","204,100,000","51,983,000","79,063,000","63,973,000","32,168,000"
	NetIncome,"76,033,000,000","20,642,000,000","18,936,000,000","18,525,000,000","17,930,000,000","15,227,000,000","11,247,000,000","6,959,000,000","6,836,000,000","10,671,000,000","7,068,000,000","9,947,000,000","6,657,000,000","8,948,000,000","9,192,000,000","3,195,000,000","9,401,000,000","-3,020,000,000","6,732,000,000","3,524,000,000","5,426,000,000","5,333,000,000","5,061,000,000","4,877,000,000","4,207,000,000","4,923,000,000","3,979,000,000","3,931,000,000","3,586,000,000","4,757,000,000","2,813,000,000","3,422,000,000","3,452,000,000","3,376,000,000","2,970,000,000","3,228,000,000","3,346,000,000","2,886,000,000","2,176,000,000","2,785,000,000","2,890,000,000","2,704,000,000","2,729,000,000","2,505,000,000","1,798,000,000","2,543,000,000","2,167,000,000","1,840,000,000","1,955,000,000","1,974,100,000","1,638,975,000","1,484,545,000","1,422,828,000","382,442,000","1,289,938,000","1,247,391,000","1,307,086,000","1,206,449,000","1,069,989,000","925,120,000","1,002,162,000","1,030,717,000","733,361,000","721,077,000","592,291,000","372,208,000","381,182,000","342,814,000","369,193,000","204,100,000","51,983,000","79,063,000","63,973,000","32,168,000"
		NetIncomeIncludingNoncontrollingInterests,"76,033,000,000","20,642,000,000","18,936,000,000","18,525,000,000","17,930,000,000","15,227,000,000","11,247,000,000","6,959,000,000","6,836,000,000","10,671,000,000","7,068,000,000","9,947,000,000","6,657,000,000","8,948,000,000","9,192,000,000","3,195,000,000","9,401,000,000","-3,020,000,000","6,732,000,000","3,524,000,000","5,426,000,000","5,333,000,000","5,061,000,000","4,877,000,000","4,207,000,000","4,923,000,000","3,979,000,000","3,931,000,000","3,586,000,000","4,757,000,000","2,813,000,000","3,422,000,000","3,452,000,000","3,376,000,000","2,970,000,000","3,228,000,000","3,346,000,000","2,886,000,000","2,176,000,000","2,785,000,000","2,890,000,000","2,704,000,000","2,729,000,000","2,505,000,000","1,798,000,000","2,543,000,000","2,167,000,000","1,840,000,000","1,955,000,000","1,974,100,000","1,638,975,000","1,484,545,000","1,422,828,000","382,442,000","1,289,938,000","1,247,391,000","1,307,086,000","1,206,449,000","1,069,989,000","925,120,000","1,002,162,000","1,030,717,000","733,361,000","721,077,000","592,291,000","372,208,000","381,182,000","342,814,000","369,193,000","204,100,000","51,983,000","79,063,000","63,973,000","32,168,000"
			NetIncomeContinuousOperations,"76,033,000,000","20,642,000,000","18,936,000,000","18,525,000,000","17,930,000,000","15,227,000,000","11,247,000,000","6,959,000,000","6,836,000,000","10,671,000,000","7,068,000,000","9,947,000,000","6,657,000,000","8,948,000,000","9,192,000,000","3,195,000,000","9,401,000,000","-3,020,000,000","6,732,000,000","3,524,000,000","5,426,000,000","5,333,000,000","5,061,000,000","4,877,000,000","4,207,000,000","4,923,000,000","3,979,000,000","3,931,000,000","3,586,000,000","3,790,000,000","2,998,000,000","3,490,000,000","3,650,000,000","3,381,000,000","2,955,000,000","2,554,000,000","3,324,000,000","2,937,000,000","2,176,000,000","2,785,000,000","2,890,000,000","2,704,000,000","2,729,000,000","2,505,000,000","1,798,000,000","2,543,000,000","2,167,000,000","1,840,000,000","1,955,000,000","1,974,100,000","1,638,975,000","1,484,545,000","1,422,828,000","382,442,000","1,289,938,000","1,247,391,000","1,307,086,000","1,206,449,000","1,069,989,000","925,120,000","1,002,162,000","1,030,717,000","733,361,000","721,077,000","592,291,000","372,208,000","381,182,000","342,814,000","369,193,000","204,100,000","51,983,000","79,063,000","63,973,000","32,168,000"
			NetIncomeDiscontinuousOperations,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","967,000,000","-185,000,000","-68,000,000","-198,000,000","-5,000,000","15,000,000","674,000,000","22,000,000","-21,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherunderPreferredStockDividend,,,,,,,,,,,,,,,,,,,,,,"0","0","0",,"0","0","522,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AverageDilutionEarnings,,,,,,,,"470,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
